country,geometry_type,invalid_geometry_count,parsed_geometry_count,parse_error_count
Marshall Islands,ALL_TYPES,0,1302,0
Marshall Islands,LineString,0,543,0
Marshall Islands,MultiPolygon,0,615,0
Marshall Islands,Point,0,144,0
Mauritania,ALL_TYPES,0,15622,0
Mauritania,LineString,0,5081,0
Mauritania,MultiPolygon,0,5316,0
Mauritania,Point,0,5225,0
Mauritius,ALL_TYPES,0,19620,0
Mauritius,LineString,0,8160,0
Mauritius,MultiPolygon,0,8623,0
Mauritius,Point,0,2832,0
Mauritius,Polygon,0,5,0
Mexico,ALL_TYPES,0,489583,0
Mexico,LineString,0,167348,0
Mexico,MultiPolygon,0,177604,0
Mexico,Point,0,142234,0
Mexico,Polygon,0,2397,0
Micronesia,ALL_TYPES,0,1327,0
Micronesia,LineString,0,447,0
Micronesia,MultiPolygon,0,636,0
Micronesia,Point,0,194,0
Micronesia,Polygon,0,50,0
Moldova,ALL_TYPES,0,74256,0
Moldova,LineString,0,27394,0
Moldova,MultiPolygon,0,31674,0
Moldova,Point,0,15157,0
Moldova,Polygon,0,31,0
Monaco,ALL_TYPES,0,1532,0
Monaco,LineString,0,192,0
Monaco,MultiPolygon,0,200,0
Monaco,Point,0,1139,0
Monaco,Polygon,0,1,0
Mongolia,ALL_TYPES,0,64629,0
Mongolia,LineString,0,23765,0
Mongolia,MultiPolygon,0,25084,0
Mongolia,Point,0,15421,0
Mongolia,Polygon,0,359,0
Montenegro,ALL_TYPES,0,22880,0
Montenegro,LineString,0,6170,0
Montenegro,MultiPolygon,0,6915,0
Montenegro,Point,0,9777,0
Montenegro,Polygon,0,18,0
Morocco,ALL_TYPES,0,104739,0
Morocco,LineString,0,33679,0
Morocco,MultiPolygon,0,36759,0
Morocco,Point,0,34224,0
Morocco,Polygon,0,77,0
Mozambique,ALL_TYPES,0,26667,0
Mozambique,LineString,0,9443,0
Mozambique,MultiPolygon,0,10593,0
Mozambique,Point,0,6493,0
Mozambique,Polygon,0,138,0
Myanmar,ALL_TYPES,0,146701,0
Myanmar,LineString,0,46793,0
Myanmar,MultiPolygon,0,50462,0
Myanmar,Point,0,49433,0
Myanmar,Polygon,0,13,0
Namibia,ALL_TYPES,1,33821,0
Namibia,LineString,0,14818,0
Namibia,MultiPolygon,0,15326,0
Namibia,Point,0,3557,0
Namibia,Polygon,1,120,0
Nauru,ALL_TYPES,0,329,0
Nauru,LineString,0,136,0
Nauru,MultiPolygon,0,165,0
Nauru,Point,0,27,0
Nauru,Polygon,0,1,0
Nepal,ALL_TYPES,0,308381,0
Nepal,LineString,0,117041,0
Nepal,MultiPolygon,0,127850,0
Nepal,Point,0,63405,0
Nepal,Polygon,0,85,0
Netherlands,ALL_TYPES,1,2079072,0
Netherlands,LineString,0,862199,0
Netherlands,MultiPolygon,1,872689,0
Netherlands,Point,0,343853,0
Netherlands,Polygon,0,331,0
New Caledonia,ALL_TYPES,0,15973,0
New Caledonia,LineString,0,6823,0
New Caledonia,MultiPolygon,0,6977,0
New Caledonia,Point,0,2173,0
New Zealand,ALL_TYPES,0,593763,0
New Zealand,LineString,0,263487,0
New Zealand,MultiPolygon,0,268551,0
New Zealand,Point,0,61679,0
New Zealand,Polygon,0,46,0
Nicaragua,ALL_TYPES,0,32272,0
Nicaragua,LineString,0,11441,0
Nicaragua,MultiPolygon,0,13323,0
Nicaragua,Point,0,7372,0
Nicaragua,Polygon,0,136,0
Niger,ALL_TYPES,0,32155,0
Niger,LineString,0,11172,0
Niger,MultiPolygon,0,11610,0
Niger,Point,0,9301,0
Niger,Polygon,0,72,0
Nigeria,ALL_TYPES,0,72195,0
Nigeria,LineString,0,20863,0
Nigeria,MultiPolygon,0,26925,0
Nigeria,Point,0,23606,0
Nigeria,Polygon,0,801,0
Niue,ALL_TYPES,0,284,0
Niue,LineString,0,97,0
Niue,MultiPolygon,0,120,0
Niue,Point,0,66,0
Niue,Polygon,0,1,0
North Macedonia,ALL_TYPES,0,37290,4
North Macedonia,LineString,0,14597,0
North Macedonia,MultiPolygon,0,16695,0
North Macedonia,Point,0,5905,0
North Macedonia,Polygon,0,93,0
North Macedonia,UNKNOWN,0,0,4
Norway,ALL_TYPES,2,2548726,0
Norway,LineString,0,1060203,0
Norway,MultiPolygon,1,1388501,0
Norway,Point,0,99826,0
